,Brand,Model,Location,Old_price,Years_old,Prev_Owners,Kms_Driven,Audio_Score,Image_Score,Final_Price
0,Honda,CB_350,Delhi,43375.30541335809,2014.0,3.0,6341.529860338689,0.4758906756188708,0.5,31413.754551894228
1,Honda,CB_350,Delhi,62405.49401898978,2016.0,3.0,3778.806396338232,0.4764135819908162,0.5,52371.35414860143
2,Honda,CB_350,Delhi,64475.59451378773,2019.0,3.0,10349.530679607837,0.4436483104741155,0.5,56641.13268710654
3,Honda,CB_350,Delhi,42194.57353117977,2013.0,3.0,6812.894895302592,0.4843244747772874,0.5,29808.330279294685
4,Honda,CB_350,Delhi,52779.15646536125,2019.0,3.0,4935.069985994435,0.4135649281626528,0.5,41734.90534573728
5,Honda,CB_350,Delhi,50552.31479841485,2019.0,3.0,10106.291190347729,0.4383076133509461,0.5,34210.6547799773
6,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4539096456430933,0.5,45860.0
7,Tvs,Apache,Delhi,48709.044166255975,2019.0,3.0,14386.775213916686,0.4587883981527114,0.5,27982.44812176046
8,Tvs,Apache,Delhi,49403.8938205712,2019.0,3.0,12773.179905562449,0.4510678464380978,0.5,30330.26789817445
9,Honda,CB_350,Delhi,52362.1285578108,2019.0,3.0,5903.501460194919,0.41819857157988,0.5,40325.81438255849
10,Honda,CB_350,Delhi,50956.47200378332,2019.0,3.0,9167.74834676985,0.4338169777357409,0.5,35576.25707056119
11,Honda,CB_350,Delhi,77708.20582053324,2020.0,2.0,20770.21208366993,0.4987841909188885,0.5,70259.69515696546
12,Honda,CB_350,Delhi,56114.37989641133,2018.0,3.0,2522.2993302196087,0.4192216354219212,0.5,47497.913997572745
13,Honda,CB_350,Delhi,54191.81508445487,2019.0,3.0,3049.388760509345,0.4095907542227431,0.5,44290.96699529055
14,Tvs,Apache,Delhi,49386.67492124914,2019.0,3.0,12813.166016210324,0.4512591675416762,0.5,30272.08715057627
15,Honda,CB_350,Delhi,53832.690031155806,2019.0,3.0,2488.5309276492926,0.4018589996538244,0.5,45294.67820527201
16,Honda,CB_350,Delhi,60525.83717366188,2019.0,3.0,7239.09677425873,0.4271909882235912,0.5,52576.17409122702
17,Honda,CB_350,Delhi,71130.38594389026,2020.0,2.0,15590.17893081358,0.4713766080995427,0.5,63490.02220058706
18,Honda,CB_350,Delhi,54953.30975397585,2019.0,3.0,2290.4019572259044,0.4086664523088714,0.5,46598.48573414355
19,Honda,CB_350,Delhi,62579.15366433439,2016.0,3.0,3813.490963685696,0.4779923060394035,0.5,52505.88038222965
20,Tvs,Apache,Delhi,48043.99977161475,2019.0,3.0,15931.156085916851,0.4661777803153916,0.5,25735.3370060894
21,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.5414596135172597,0.5,45860.0
22,Honda,CB_350,Delhi,53003.13067835827,2019.0,3.0,4414.9520913680135,0.4110763257960192,0.5,42491.68932543056
23,Tvs,Apache,Delhi,49113.34729353488,2019.0,3.0,13447.893507235674,0.4542961411829458,0.5,29348.54346626618
24,Honda,CB_350,Delhi,53427.37123267663,2019.0,3.0,3429.7712485620427,0.4063625418591485,0.5,43925.15102063293
25,Honda,CB_350,Delhi,52223.08869838965,2018.0,3.0,6226.185476928307,0.4197434589067817,0.5,38671.43622722915
26,Honda,CB_350,Delhi,58846.31163503888,2019.0,3.0,5916.470412593117,0.4201929651459953,0.5,50847.66239106085
27,Honda,CB_350,Delhi,49014.00269906773,2017.0,3.0,13678.039732464831,0.4553999700103585,0.5,25688.95401918347
28,Honda,CB_350,Delhi,51036.312635228685,2019.0,3.0,8982.340658191173,0.4329298596085702,0.5,35846.0296930338
29,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4319865060792591,0.5,45860.0
30,Honda,CB_350,Delhi,52354.806530418464,2019.0,3.0,5920.5048349171175,0.4182799274397948,0.5,40301.0740655584
31,Honda,CB_350,Delhi,66302.62592787575,2020.0,2.0,11788.317918202154,0.4512609413661489,0.5,58521.4525174388
32,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.5734079610955682,0.5,45860.0
33,Honda,CB_350,Delhi,71733.06283662893,2020.0,2.0,16064.786983845288,0.4738877618192872,0.5,64110.27716936395
34,Honda,CB_350,Delhi,60790.19568678888,2017.0,3.0,3456.187265806833,0.4617290516980807,0.5,51120.05595329685
35,Tvs,Apache,Delhi,45899.26173068849,2019.0,3.0,20911.714425401173,0.4900082029923501,0.5,18488.50547002633
36,Honda,CB_350,Delhi,64545.35279993766,2019.0,3.0,10404.465329950905,0.4439389699997402,0.5,56712.92558993584
37,Honda,CB_350,Delhi,62354.04539696266,2016.0,3.0,3768.5307033751774,0.4759458672451151,0.5,52331.49923969075
38,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.596527207296633,0.5,45860.0
39,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4899937329034204,0.5,45860.0
40,Honda,CB_350,Delhi,54190.693011454,2019.0,3.0,3043.835060191567,0.4095346505726999,0.5,44300.14546828215
41,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.5252637525058866,0.5,45860.0
42,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.5650655769135129,0.5,45860.0
43,Tvs,Apache,Delhi,55941.64503025153,2019.0,2.0,11710.172077229929,0.4970822515125763,0.5,29977.48927591979
44,Tvs,Apache,Delhi,49329.58503955991,2019.0,3.0,12945.741408133114,0.4518934995604455,0.5,30079.18678366852
45,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4738634098156364,0.5,45860.0
46,Tvs,Apache,Delhi,55101.83660547745,2019.0,2.0,7553.540278810653,0.4550918302738727,0.5,36847.05920493985
47,Honda,CB_350,Delhi,56028.66916246389,2018.0,3.0,2505.180559084832,0.4184424469314898,0.5,47431.51778792611
48,Honda,CB_350,Delhi,51023.19469379357,2019.0,3.0,9012.80343330159,0.4330756145134047,0.5,35801.70562647362
49,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.5709795233107097,0.5,45860.0
50,Honda,CB_350,Delhi,60300.689547867485,2017.0,3.0,3358.419539696806,0.4572789958897044,0.5,50740.85779775349
51,Tvs,Apache,Delhi,55668.58163747477,2019.0,2.0,10358.644814681338,0.4834290818737381,0.5,32211.12734907925
52,Honda,CB_350,Delhi,67901.8574702566,2020.0,2.0,13047.71275782707,0.4579244061260691,0.5,60167.32831313908
53,Honda,CB_350,Delhi,50310.68446462937,2019.0,3.0,10667.41052102735,0.4409923948374514,0.5,33394.212729931016
54,Honda,CB_350,Delhi,50848.66251472241,2018.0,3.0,9417.755789424034,0.4350148609475288,0.5,33111.1416512962
55,Tvs,Apache,Delhi,46693.011304782674,2019.0,3.0,19068.45152556023,0.4811887632801925,0.5,21170.497086493466
56,Tvs,Apache,Delhi,47172.78887342853,2019.0,3.0,17954.301393927082,0.4758579014063497,0.5,22791.612182329063
57,Tvs,Apache,Delhi,47789.00824435524,2019.0,3.0,16523.30307699729,0.469011019507164,0.5,24873.74896787141
58,Honda,CB_350,Delhi,65110.15726952892,2019.0,3.0,10849.248849754023,0.4462923219563705,0.5,57294.20352322352
59,Honda,CB_350,Delhi,50942.62128835061,2019.0,3.0,9199.912785941362,0.4339708745738821,0.5,35529.457042082446
60,Honda,CB_350,Delhi,49532.44129832756,2019.0,3.0,12474.664096105997,0.4496395411296938,0.5,30764.61554246013
61,Honda,CB_350,Delhi,73783.83670112719,2020.0,2.0,17679.771402137667,0.4824326529213633,0.5,66220.86527157674
62,Honda,CB_350,Delhi,47289.074455007576,2016.0,3.0,17683.5147738663,0.4745658393888047,0.5,18710.68972729528
63,Honda,CB_350,Delhi,52497.07156399673,2019.0,3.0,5590.13381249648,0.4166992048444808,0.5,40781.7718067934
64,Honda,CB_350,Delhi,48912.22308457295,2016.0,3.0,4131.1132271658425,0.4363412636816218,0.5,38942.2224106212
65,Honda,CB_350,Delhi,74236.1190276363,2020.0,2.0,18035.943734263587,0.4843171626151513,0.5,66686.33916594237
66,Honda,CB_350,Delhi,54382.99464363037,2019.0,3.0,3995.6319886485417,0.4191497321815187,0.5,42727.13253970181
67,Tvs,Apache,Delhi,49001.46067324768,2019.0,3.0,13707.71910323595,0.4555393258528036,0.5,28970.49100816243
68,Honda,CB_350,Delhi,52101.898113624215,2019.0,3.0,6507.814380583771,0.4210900209597309,0.5,39446.524626145816
69,Tvs,Apache,Delhi,47033.69395367261,2019.0,3.0,18277.31070758248,0.4774034005147487,0.5,22321.62590346492
70,Honda,CB_350,Delhi,49107.13021211379,2017.0,3.0,4053.3035174640017,0.4349490699134729,0.5,39207.23484755095
71,Tvs,Apache,Delhi,46932.04973705186,2019.0,3.0,18513.35116617958,0.4785327806994238,0.5,21978.181389305217
72,Honda,CB_350,Delhi,52484.001835892464,2019.0,3.0,5620.484625538613,0.4168444240456393,0.5,40737.61064772109
73,Honda,CB_350,Delhi,46229.11757506272,2016.0,3.0,20144.852422084925,0.4863431380548587,0.5,14422.592948933025
74,Honda,CB_350,Delhi,69928.27363480235,2020.0,2.0,14643.515487406848,0.4663678068116764,0.5,62252.84828248408
75,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4086505045710346,0.5,45860.0
76,Tvs,Apache,Delhi,47741.015873833145,2019.0,3.0,16634.752026320803,0.4695442680685205,0.5,24711.58808036289
77,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4846805160120365,0.5,45860.0
78,Honda,CB_350,Delhi,77504.82998402604,2020.0,2.0,20610.05361242052,0.4979367916001085,0.5,70050.3875252268
79,Honda,CB_350,Delhi,58477.53732192864,2017.0,3.0,2994.286317843384,0.4407048847448058,0.5,49328.5446388744
80,Tvs,Apache,Delhi,55730.19816894373,2019.0,2.0,10663.615837187,0.4865099084471866,0.5,31707.108742902947
81,Honda,CB_350,Delhi,50433.76992001901,2019.0,3.0,10381.57874128919,0.4396247786664554,0.5,33810.10480753089
82,Tvs,Apache,Delhi,47071.56525464224,2019.0,3.0,18189.36513088636,0.4769826082817529,0.5,22449.588821518937
83,Tvs,Apache,Delhi,48388.53118005948,2019.0,3.0,15131.07759297298,0.4623496535548946,0.5,26899.47035395654
84,Honda,CB_350,Delhi,56928.87058392717,2019.0,3.0,4406.48558484264,0.4122036274330298,0.5,48874.29597595837
85,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4835032335927764,0.5,45860.0
86,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.5492009171235207,0.5,45860.0
87,Tvs,Apache,Delhi,49342.42694664917,2019.0,3.0,12915.919646114711,0.4517508117038981,0.5,30122.578160844576
88,Honda,CB_350,Delhi,54000.0,2019.0,3.0,2100.0,0.4132468447427958,0.5,45860.0
89,Tvs,Apache,Delhi,48404.42799801759,2019.0,3.0,15094.16164904804,0.462173022244249,0.5,26953.183935523884
90,Honda,CB_350,Delhi,54004.55471350737,2019.0,3.0,2122.543554504756,0.4002277356753688,0.5,45822.74278511318
91,Tvs,Apache,Delhi,55150.00030176016,2019.0,2.0,7791.926493561883,0.4575000150880077,0.5,36453.08378162458
92,Tvs,Apache,Delhi,45921.77473063259,2019.0,3.0,20859.43423664209,0.4897580585485268,0.5,18564.57439539301
93,Tvs,Apache,Delhi,46078.67649258641,2019.0,3.0,20495.073478327115,0.4880147056379288,0.5,19094.72801550585
94,Honda,CB_350,Delhi,64761.19370224455,2015.0,3.0,4249.303869439206,0.4978290336567685,0.5,54196.20761596056
95,Honda,CB_350,Delhi,49684.69813386608,2017.0,3.0,3822.730152130177,0.4308235847580994,0.5,39992.54569978722
96,Honda,CB_350,Delhi,53277.47438583888,2019.0,3.0,3777.865037329708,0.408028062379568,0.5,43418.666230373376
